	paragraph_id	text	effendis	reverend father	martin	issachar	the turks	miss clairon	father	cacambo	james	charles edward	the russians	cadis	theodore	baron	the old woman	the bulgarians	spaniards	god	ariosto	achmet	the theatin	candide	the marchioness	gauchat	oreillons	a biscayner	the jesuits	vanderdendur	don fernando	the friar	the anabaptist	sultan achmet	pangloss	buenos ayres	the abbé	tasso	paquette	pococurante	souza	milton	cunegonde	abares
0	0	i how candide be bring up in a magnificent castle and how he be expel thence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	in a castle of westphalia belong to the baron of thunder ten tronckh live a youth whom nature have endow with the most gentle manner	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	his countenance be a true picture of his soul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	he combine a true judgment with simplicity of spirit which be the reason i apprehend of his be call candide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2	the old servant of the family suspect he to have be the son of the baron s sister by a good honest gentleman of the neighborhood whom that young lady would never marry because he have be able to prove only seventy one quartering the rest of his genealogical tree having be lose through the injury of time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	3	the baron be one of the most powerful lord in westphalia for his castle have not only a gate but window	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	his great hall even be hang with tapestry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	all the dog of his farm yard form a pack of hound at need his groom be his huntsman and the curate of the village be his grand almoner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	they call he my lord and laugh at all his story	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	4	the baron s lady weigh about three hundred and fifty pound and be therefore a person of great consideration and she do the honour of the house with a dignity that command still great respect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	4	her daughter cunegonde be seventeen year of age fresh coloured comely plump and desirable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
11	4	the baron s son seem to be in every respect worthy of his father	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	4	the preceptor pangloss be the oracle of the family and little candide hear his lesson with all the good faith of his age and character	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
