,aimer,rue,justice,guerre
0,Cosette-Marius (0.16),Courfeyrac (0.11),Javert-Valjean (0.17),Enjolras (0.15)
1,Cosette (0.12),Enjolras (0.1),Javert (0.15),intercept (0.15)
2,Marius (0.1),Grantaire (0.1),Grantaire (0.1),Grantaire (0.14)
3,Myriel (0.07),Gavroche (0.08),Champmathieu-Valjean (0.08),Enjolras-Marius (0.09)
4,Gillenormand (0.07),Cosette-Javert (0.07),Champmathieu (0.08),Cosette-Javert (0.05)
5,Enjolras (-0.08),Fantine (-0.06),Cosette (-0.11),Valjean (-0.23)
6,Javert-Valjean (-0.06),Myriel (-0.06),Gavroche (-0.07),Cosette (-0.14)
7,Grantaire (-0.06),Grantaire-Valjean (-0.06),Marius (-0.07),Monsieur Thénardier (-0.12)
8,Javert (-0.06),Fantine-Valjean (-0.06),Gervais-Grantaire (-0.06),Grantaire-Marius (-0.12)
9,Monsieur Thénardier-Valjean (-0.05),Cosette-Marius (-0.04),Fantine-Gervais (-0.06),Magloire (-0.09)
